,index,age,gender_code,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,gender
4696,4705,39,1,1,1368,656,1,1423,1631,1182,519,1176,1,15,118.65,315,662.69,1912,1524,1746,1746,588,1,0
4288,4297,10,1,1,1368,656,7,1571,1,1158,1307,1157,1,7,164.24,127,752.9,1912,1524,1746,1746,588,0,0
1650,1652,14,1,1,1625,656,8,506,1,1160,1272,1167,1,10,337.65,116,1074.26345,1912,1524,1754,418,613,0,0
905,905,52,1,1,1368,390,3,1571,1,1182,1307,1157,2,14,499.62,119,769.81,1912,1976,1754,418,613,0,0
5548,5560,18,0,1,507,765,2,506,1,1182,1307,1167,1,20,1080.9444,107,590.6,1912,1524,1746,1746,554,1,1
1625,1627,26,0,1,1625,420,6,1423,1631,1158,1307,1157,1,7,294.51,133,338.7744602,1588,1976,1754,418,125,0,1
6471,6485,50,0,1,507,744,5,1423,1631,1160,1307,1157,1,9,332.82,104,630.61,1588,1976,1746,1746,613,1,1
1568,1570,28,1,1,1368,765,4,1423,1631,1158,1272,1167,1,9,75.0,1,715.71,1588,1976,1754,438,613,1,0
339,339,17,1,1,507,525,3,1423,1631,1160,1307,1167,1,3,349.92,117,659.95,1912,1524,1746,1746,588,1,0
297,297,12,0,1,1368,765,2,1571,1,1158,402,1157,1,13,619.2,117,826.4263584,1912,1976,1746,1746,613,1,1
3087,3095,14,1,1,1625,765,4,1571,1,1158,1272,1176,1,18,231.56,116,712.17,1912,1524,1746,1746,588,1,0
2468,2475,57,0,1,1368,525,6,1571,1,1182,1272,1176,1,11,513.47,116,718.22,1588,1976,1746,1746,588,1,1
2435,2442,11,1,1,1625,765,7,1423,1631,1182,1272,1176,1,12,30.03,131,618.2,1912,1524,1746,1746,613,1,0
76,76,47,1,1,1625,525,5,506,1,1158,519,1167,1,10,131.86,122,757.01,1588,1976,1754,458,588,0,0
1599,1601,15,1,1,1625,525,6,1571,1,1158,1307,1157,1,1,678.28,119,785.32,1912,1524,1746,1746,554,0,0
1712,1715,45,1,1,1625,744,3,1571,2,1160,1307,1167,1,9,203.87,107,643.2,1912,1976,1746,1746,613,1,0
4484,4493,19,1,1,1625,744,6,1571,1631,1182,1307,1157,1,23,301.01,101,534.91,1588,1976,1754,440,588,1,0
5642,5654,26,1,1,1625,420,5,1571,2,1182,1272,1157,1,15,156.53,127,766.3,1588,1976,1746,1746,603,0,0
506,506,13,1,1,1368,744,5,1571,1,1160,1307,1167,1,20,1009.657785,101,1048.853947,1588,1976,1746,1746,554,1,0
484,484,51,0,1,1625,765,5,1423,1631,1158,1307,1176,1,10,299.48,101,668.5,1588,1976,1754,458,554,1,1
3460,3469,36,0,1,1368,656,4,1571,1,1182,519,1176,1,8,1080.95,119,794.82,1912,1976,1754,418,603,0,1
1761,1764,48,0,1,1368,420,3,1571,1,1160,1307,1157,2,6,31.91,116,1265.93571,1588,1976,1754,418,125,0,1
5712,5724,20,0,1,1368,765,7,1571,1,1160,1307,1157,1,6,1635.5,144,950.7949817,1912,1976,1746,1746,554,1,1
463,463,48,1,1,507,656,3,1423,1631,1182,1272,1176,1,14,160.61,27,823.46,1588,1976,1754,418,133,0,0
6402,6416,43,0,1,1368,744,2,1423,1631,1182,1272,1157,1,2,311.37,126,702.84,1912,1524,1746,1746,603,1,1
4836,4845,27,0,1,1625,656,3,1423,1631,1158,1272,1167,1,7,33.94,115,700.52,1912,1524,1746,1746,590,1,1
4977,4986,44,0,1,1368,765,2,1423,1631,1160,519,1176,1,15,306.07,121,647.91,1588,1976,1754,440,603,1,1
286,286,58,0,1,1625,744,5,1423,1631,1160,519,1176,1,15,120.5,122,694.31,1912,1524,1746,1746,613,1,1
6527,6541,42,0,1,1625,525,8,1571,1631,1160,402,1176,1,9,572.47,123,639.26,1588,1976,1754,440,613,1,1
6533,6547,24,0,1,1625,765,3,1423,1631,1182,519,1167,1,11,340.63,122,550.41,1912,1524,1746,1746,613,1,1
1086,1088,45,0,1,507,765,4,1423,1631,1182,1307,1157,1,12,1308.330952,116,562.8,1588,1976,1754,438,588,1,1
2495,2502,50,1,1,507,525,3,506,1,1182,1307,1157,1,19,72.61,104,751.57,1588,1976,1754,418,588,0,0
430,430,13,1,1,1625,744,3,506,1,1160,1272,1176,1,5,1721.26,127,512.17,1912,1976,1754,438,588,1,0
4218,4227,58,0,1,507,525,5,1423,1631,1158,519,1176,1,12,128.27,144,740.91,1912,1524,1754,418,155,0,1
993,994,28,0,1,1368,420,4,1571,2,1182,519,1176,1,6,89.09,131,1034.304345,1588,1976,1754,418,603,0,1
303,303,55,1,1,1625,420,2,1571,1,1158,1272,1176,1,7,792.59,144,741.71,1912,1524,1746,1746,554,0,0
5469,5481,60,1,1,1625,744,2,1571,1,1158,1307,1176,1,19,34.51,115,644.47,1912,1524,1746,1746,554,1,0
3283,3292,12,1,1,1368,744,2,1571,1,1160,402,1157,1,10,313.05,116,628.41,1588,1976,1754,440,590,1,0
1010,1011,60,1,1,1368,390,4,506,1,1160,1272,1176,1,14,89.06,137,795.02,1912,1524,1754,418,613,0,0
6068,6080,43,1,1,1625,744,4,1423,1631,1182,1307,1167,1,16,243.85,115,601.03,1912,1524,1746,1746,613,1,0
6072,6084,60,0,1,1625,744,5,1423,1631,1182,1272,1167,1,13,378.19,121,265.1214375,1912,1976,1754,418,590,1,1
3718,3727,42,0,1,1368,525,5,506,1,1182,1307,1167,1,23,101.36,315,710.04,1588,1976,1746,1746,588,1,1
5002,5011,46,0,1,1625,744,2,1571,1,1158,1272,1176,1,-999,323.41,315,515.36,1588,1976,1754,418,613,1,1
5221,5233,42,0,1,1625,656,7,1571,1,1182,1307,1167,1,8,54.68,119,601.12,1912,1524,1746,1746,613,1,1
3334,3343,58,0,1,1625,765,7,1571,1,1182,1307,1167,1,13,545.76,137,699.84,1912,1524,1746,1746,554,1,1
2012,2018,53,1,1,1368,525,2,1571,1,1160,1272,1157,1,5,31.08,126,792.89,1912,1524,1754,418,603,0,0
4295,4304,28,0,1,1368,390,8,1571,1,1160,402,1157,1,11,865.52,113,710.44,1588,1976,1754,440,554,0,1
913,913,22,0,1,1625,656,3,1571,1631,1158,402,1157,1,14,599.9,89,669.17,1912,1976,1754,440,590,1,1
4845,4854,47,0,1,1625,744,3,1423,1631,1160,1272,1176,1,4,118.97,123,30.09886184,1588,1976,1754,418,588,1,1
1034,1035,17,0,1,1625,420,3,1571,1631,1158,402,1167,1,14,690.9,116,726.1,1912,1524,1746,1746,155,0,1
1009,1010,59,0,1,507,765,2,1571,1,1158,1272,1157,1,14,592.9,131,553.09,1912,1524,1754,438,603,1,1
5021,5031,56,1,1,507,656,5,1423,1631,1158,1272,1157,1,12,186.93,315,701.39,1912,1524,1754,438,125,0,0
2922,2929,58,1,1,1625,390,8,1571,1,1182,1307,1176,1,13,210.19,93,761.72,1588,1976,1754,458,603,0,0
6039,6051,39,0,1,1368,525,5,1571,1,1158,1307,1157,1,12,32.83,116,717.53,1588,1976,1754,458,603,1,1
458,458,36,1,1,1368,744,5,1571,1,1182,1307,1157,1,23,125.03,104,1147.987633,1912,1524,1746,1746,603,1,0
4078,4087,37,1,1,1625,390,5,1571,1,1160,402,1157,2,12,669.09,144,452.441039,1912,1976,1754,418,155,0,0
2009,2015,16,0,1,1625,420,4,1423,1631,1158,519,1176,1,14,403.63,119,794.98,1588,1976,1754,458,588,0,1
455,455,64,0,1,1368,765,2,1571,2,1158,1307,1176,1,-999,393.4,1,330.5707099,1912,1524,1754,458,554,1,1
159,159,64,0,1,1625,744,3,1423,1631,1160,1272,1157,1,10,313.84,126,573.16,1912,1524,1746,1746,613,1,1
6174,6186,26,1,1,1368,765,3,1571,1631,1158,1272,1176,1,12,200.73,315,563.22,1588,1976,1746,1746,603,1,0
6191,6203,61,1,1,1625,656,3,1423,1631,1182,1272,1167,1,11,85.65,1,780.29,1912,1524,1746,1746,155,0,0
1688,1691,58,0,1,1625,525,6,1571,1,1160,1307,1167,1,7,118.17,116,747.8,1912,1524,1746,1746,554,0,1
3394,3403,39,1,1,1625,656,2,1571,1,1158,1272,1176,1,13,189.93,315,750.51,1588,1976,1754,438,613,0,0
4755,4764,33,1,1,1368,765,5,506,1,1158,1307,1176,1,14,-851.5494685000001,115,159.86544880000002,1588,1976,1754,440,588,1,0
5560,5572,29,1,1,1368,420,7,1571,1,1160,1272,1176,1,17,-1092.6952820000001,131,708.14,1912,1524,1746,1746,588,0,0
6062,6074,53,0,1,1368,525,3,506,1,1160,519,1176,1,9,373.0,144,725.59,1588,1976,1754,458,613,0,1
2594,2601,17,1,1,1625,525,3,1571,1,1160,1307,1176,1,15,258.8,134,729.02,1912,1976,1746,1746,554,0,0
2199,2205,43,0,1,1625,420,3,1571,1,1158,1272,1157,1,22,54.83,119,733.14,1588,1976,1754,440,133,0,1
790,790,39,1,1,1368,744,3,1571,2,1158,402,1176,1,15,559.0,1,237.53962080000002,1912,1976,1746,1746,590,1,0
4780,4789,22,0,1,1625,525,3,1571,1,1160,1272,1167,1,20,107.54,94,779.08,1912,1524,1746,1746,554,0,1
2502,2509,56,1,1,1625,744,3,1571,1,1160,1272,1167,1,18,163.04,123,696.38,1912,1524,1754,418,590,1,0
1777,1780,27,0,1,507,390,4,1571,1,1160,1307,1176,1,10,33.81,1,796.55,1588,1976,1754,438,588,0,1
6047,6059,64,1,1,1368,765,6,1423,1631,1160,1272,1167,1,14,210.19,89,637.18,1912,1524,1754,438,603,1,0
2086,2092,55,1,1,1368,765,3,1571,1631,1158,1272,1167,1,12,161.41,115,698.77,1912,1524,1754,418,590,1,0
4535,4544,13,1,1,1625,420,2,506,1,1182,402,1167,1,6,552.55,137,766.84,1912,1976,1754,458,139,0,0
5489,5501,64,1,1,1625,744,4,1571,1,1182,1272,1167,1,15,46.58,113,690.28,1912,1524,1746,1746,588,1,0
5815,5827,14,0,1,1625,390,4,1423,1631,1160,402,1157,1,11,310.03,116,703.97,1912,1524,1754,440,590,0,1
3942,3951,61,1,1,1625,656,4,1571,1,1182,1307,1157,1,3,509.36,119,464.4520387,1588,1976,1746,1746,613,0,0
1038,1039,33,1,1,1625,525,4,1571,1,1182,519,1176,1,21,117.62,133,1211.326925,1588,1976,1754,438,603,0,0
5312,5324,53,0,1,1368,525,3,1571,3,1158,1307,1157,1,18,1098.78,131,743.71,1912,1976,1746,1746,603,0,1
5531,5543,45,0,1,1625,420,5,506,1,1182,1307,1176,1,22,334.91,132,779.22,1588,1976,1746,1746,588,0,1
3250,3258,15,1,1,1625,765,8,1571,1,1160,1307,1167,2,11,588.54,93,559.97,1588,1976,1754,440,590,1,0
4405,4414,42,0,1,507,744,8,1423,1631,1182,1272,1176,1,7,215.95,133,607.31,1912,1524,1754,440,588,1,1
5607,5619,21,0,1,1625,744,4,1571,1,1182,1272,1176,1,19,34.07,132,611.78,1588,1976,1746,1746,554,1,1
6420,6434,13,0,1,1625,765,3,506,1,1160,1307,1167,1,-999,93.21,116,613.17,1588,1976,1754,418,590,1,1
858,858,26,1,1,1368,744,3,1571,1,1158,1272,1167,1,22,159.86,113,414.52982589999993,1912,1524,1754,440,554,1,0
3007,3015,33,1,1,1368,390,4,1423,1631,1182,1307,1167,1,4,304.27,107,715.92,1912,1524,1754,458,603,0,0
6109,6121,53,1,1,1625,525,7,506,1,1160,519,1176,1,24,135.77,137,747.47,1912,1524,1754,440,155,0,0
4633,4642,25,0,1,1368,765,4,1423,1631,1158,402,1176,2,18,462.58,104,657.26,1588,1976,1754,418,554,1,1
6035,6047,18,0,1,1368,656,7,1571,1,1158,1272,1157,1,18,-878.1839618999999,315,792.89,1588,1976,1754,418,588,0,1
5365,5377,29,0,1,1368,765,5,1571,1,1182,1272,1157,1,14,32.49,89,1090.5680439999999,1588,1976,1746,1746,554,1,1
5838,5850,39,0,1,1625,656,3,506,1,1160,1307,1167,1,7,31.29,134,795.12,1588,1976,1746,1746,139,0,1
4728,4737,31,1,1,1368,525,3,1423,1631,1160,519,1167,1,18,176.47,127,704.17,1912,1524,1746,1746,588,0,0
1424,1426,53,0,1,1625,420,3,1423,1631,1160,1307,1167,1,17,34.37,116,735.79,1912,1524,1746,1746,590,0,1
3792,3801,57,0,1,1368,765,6,506,2,1158,519,1157,1,15,108.87,116,512.46,1912,1524,1746,1746,554,1,1
1832,1835,50,1,1,1625,744,5,1571,1631,1158,1307,1157,1,14,-1034.172969,116,514.61,1912,1524,1754,438,603,1,0
500,500,61,1,1,1625,744,4,1423,1631,1158,1307,1176,1,-999,154.23,126,594.68,1588,1976,1754,458,603,1,0
6260,6274,36,1,1,1625,390,5,1423,1631,1182,1307,1167,1,9,46.71,121,745.91,1588,1976,1754,440,590,0,0
290,290,41,1,1,1368,390,4,506,1631,1182,1272,1176,1,10,129.09,144,732.65,1912,1524,1754,438,613,0,0
2391,2398,39,1,1,1625,656,2,1423,1631,1182,1307,1176,1,3,208.11,137,735.08,1912,1976,1746,1746,155,0,0
4611,4620,19,1,1,1625,390,5,1571,1,1158,519,1167,1,15,45.9,107,772.22,1588,1976,1754,418,590,0,0
5511,5523,27,0,1,1368,744,7,1571,1,1160,1272,1176,1,12,826.33,107,655.92,1588,1976,1746,1746,603,1,1
1259,1261,61,0,1,1625,744,6,1423,1631,1182,519,1176,1,14,30.4,115,614.17,1912,1524,1754,418,603,1,1
3643,3652,17,1,1,1368,765,5,1571,1,1160,1272,1157,1,11,611.88,123,633.54,1912,1976,1754,438,590,1,0
724,724,62,1,1,1625,744,6,1423,1631,1160,1272,1167,1,13,224.2,113,707.38,1588,1976,1754,440,588,1,0
2591,2598,56,1,1,1625,525,2,1571,1,1158,1272,1176,1,21,47.88,1,760.43,1588,1976,1746,1746,613,0,0
1027,1028,10,0,1,1625,525,5,1423,1631,1158,402,1176,1,12,314.86,137,744.39,1588,1976,1754,418,590,0,1
1543,1545,20,0,1,1368,525,4,1423,1631,1182,402,1176,1,-999,239.34,116,715.91,1912,1524,1746,1746,603,1,1
4099,4108,63,0,1,1625,765,1,1571,1,1158,519,1157,1,7,276.2,131,-14.27114955,1588,1976,1746,1746,613,1,1
1263,1265,60,1,1,1625,525,3,1423,1631,1158,1307,1176,1,15,146.02,89,210.9485273,1588,1976,1754,458,554,0,0
5765,5777,43,0,1,1625,656,5,1423,1631,1160,1307,1157,1,13,47.13,137,757.06,1588,1976,1746,1746,613,0,1
4180,4189,59,1,1,1368,656,5,1571,1,1160,1307,1176,1,15,-1621.281883,1,631.51,1588,1976,1746,1746,613,0,0
4537,4546,45,1,1,1625,390,6,506,1,1182,1272,1167,1,21,302.15,133,759.92,1912,1976,1746,1746,603,0,0
3459,3468,49,1,1,1625,744,5,1423,1631,1158,1272,1167,1,19,195.11,123,581.37,1588,1976,1746,1746,613,1,0
2819,2826,32,0,1,1368,656,4,1571,1,1158,1307,1157,1,12,33.28,93,769.04,1588,1976,1746,1746,603,0,1
6433,6447,47,1,1,507,765,5,1423,1631,1158,1272,1176,1,12,1450.14331,144,594.51,1912,1524,1754,438,554,1,0
5183,5195,37,1,1,1625,744,4,1571,1,1160,1307,1167,1,10,-986.3215837000001,127,601.55,1912,1524,1746,1746,613,1,0
60,60,28,1,1,507,656,2,1571,1,1182,1272,1157,1,9,-615.344319,127,820.91,1912,1976,1746,1746,125,0,0
1359,1361,49,1,1,1625,765,3,1571,1,1160,1307,1167,1,12,72.34,132,657.73,1588,1976,1746,1746,613,1,0
4402,4411,63,0,1,1368,420,3,1423,1631,1158,1307,1157,1,16,44.63,127,755.58,1588,1976,1754,458,603,0,1
1435,1437,34,0,1,507,525,6,506,1,1182,1307,1176,1,13,225.57,144,1101.909954,1912,1524,1754,458,155,0,1
3231,3239,16,0,1,1625,765,6,1423,1631,1158,1272,1157,1,9,314.6,134,607.69,1588,1976,1746,1746,588,1,1
3614,3623,52,0,1,1368,656,4,506,1631,1182,519,1157,1,15,143.26,1,735.23,1588,1976,1754,438,603,0,1
4367,4376,27,1,1,1625,744,3,1571,1,1182,519,1167,1,19,632.1,315,668.21,1912,1524,1746,1746,554,1,0
691,691,14,0,1,1625,525,7,1423,1631,1160,402,1167,1,14,231.23,131,344.02061989999993,1912,1976,1746,1746,588,0,1
1690,1693,58,0,1,1625,420,6,1571,1,1158,1307,1176,1,12,159.24,101,1240.999145,1588,1976,1746,1746,588,0,1
5454,5466,22,0,1,1625,420,7,1571,1,1158,1307,1167,1,11,153.39635090000002,315,777.13,1912,1524,1754,438,125,0,1
388,388,28,1,1,1368,525,3,1571,1,1182,402,1157,1,16,348.67,126,700.81,1912,1524,1754,418,590,0,0
503,503,55,0,1,1625,420,6,1571,1,1182,1272,1157,1,20,168.75,122,797.72,1588,1976,1746,1746,125,0,1
3950,3959,12,1,1,1625,656,4,1423,1631,1160,1272,1176,1,24,83.01,144,628.52,1912,1524,1754,440,554,1,0
1095,1097,12,1,1,1625,525,3,1571,1631,1158,1272,1157,1,14,210.32,107,796.84,1588,1976,1754,440,613,0,0
1465,1467,18,0,1,1625,765,8,506,1,1160,1272,1157,1,20,34.44,122,546.92,1588,1976,1754,418,590,1,1
2530,2537,63,0,1,1368,390,3,1423,1631,1182,1272,1167,1,9,105.2,315,833.43,1912,1524,1746,1746,133,0,1
6337,6351,21,1,1,1368,744,4,1423,1631,1158,1272,1157,1,10,256.06,104,618.83,1912,1976,1754,440,603,1,0
1448,1450,29,1,1,1368,765,4,1571,2,1158,1307,1167,1,16,34.16,113,668.59,1588,1976,1746,1746,613,1,0
5265,5277,50,1,1,1625,390,6,506,1,1158,1307,1167,1,20,140.24,315,787.13,1912,1524,1746,1746,613,0,0
1602,1604,18,0,1,1625,656,8,1423,1631,1182,1272,1167,1,14,105.36,315,346.5472686,1912,1524,1754,438,590,0,1
6118,6130,38,1,1,1368,744,4,1571,1,1160,1272,1176,1,13,-541.5558324,315,533.16,1912,1524,1746,1746,588,1,0
1097,1099,14,1,1,1625,765,5,1423,1631,1182,1307,1167,1,9,36.58,93,613.8,1912,1524,1754,440,588,1,0
97,97,23,0,1,1625,656,2,1571,1,1158,1307,1167,1,21,727.69,127,758.83,1912,1976,1746,1746,554,0,1
4745,4754,19,0,1,1368,744,4,1571,1,1160,1272,1176,1,17,739.41,134,660.24,1912,1524,1754,438,588,1,1
5539,5551,36,0,1,1368,420,15,1571,1,1182,1272,1167,1,4,1501.91,121,753.98,1912,1524,1746,1746,125,0,1
644,644,27,0,1,507,765,4,1571,1,1182,1272,1157,1,10,1797.988448,123,688.22,1912,1976,1746,1746,590,1,1
1980,1984,22,1,1,1625,744,5,506,1,1160,1307,1167,1,14,123.0,115,310.86524289999994,1588,1976,1754,418,554,1,0
4178,4187,39,1,1,1368,744,2,1571,1,1182,1272,1176,1,9,31.42,94,307.04798910000005,1912,1524,1754,418,554,1,0
873,873,16,0,1,1368,390,4,1423,1631,1160,1272,1167,1,-999,322.96,121,800.27,1912,1524,1746,1746,139,0,1
4739,4748,34,1,1,507,744,4,506,1,1160,1272,1176,1,10,95.4,131,544.36,1912,1524,1754,418,590,1,0
1504,1506,50,1,1,1625,525,2,1423,1631,1158,1307,1176,1,9,396.49,137,787.44,1912,1976,1746,1746,125,0,0
4273,4282,36,1,1,1625,420,2,1423,1631,1182,1307,1167,1,4,173.6,315,748.57,1912,1524,1754,418,613,0,0
526,526,44,1,1,1368,765,3,1571,1631,1182,402,1176,1,23,456.32,315,584.2,1912,1976,1754,438,590,1,0
880,880,48,1,1,1368,744,2,506,1,1182,1307,1176,1,23,-712.4648865,101,712.48,1588,1976,1754,438,590,1,0
381,381,46,1,1,1625,656,3,1423,1631,1158,1272,1176,1,20,393.41,116,747.11,1588,1976,1754,440,603,0,0
3978,3987,21,1,1,507,656,3,1571,1,1160,1307,1167,1,-999,106.62,101,1257.814521,1588,1976,1754,440,590,1,0
5657,5669,50,0,1,1368,656,3,506,1,1158,1272,1167,1,23,202.99,119,1155.123597,1912,1524,1754,440,554,0,1
3650,3659,54,0,1,1368,765,5,506,2,1182,402,1157,1,9,222.49,107,104.080754,1588,1976,1746,1746,554,1,1
5970,5982,33,0,1,1368,744,4,1423,1631,1160,519,1176,1,18,113.08,119,559.13,1912,1524,1746,1746,554,1,1
4274,4283,17,0,1,1368,744,2,1423,1631,1182,1272,1167,1,16,-489.32829280000004,113,684.06,1912,1976,1754,458,554,1,1
4315,4324,38,0,1,1625,525,2,1423,1631,1158,519,1176,1,5,480.74,104,650.98,1588,1976,1746,1746,613,1,1
5073,5083,29,1,1,1625,525,4,1571,1,1160,1272,1176,1,8,31.39,126,1221.599607,1588,1976,1746,1746,554,0,0
1613,1615,53,1,1,1625,765,5,1571,1631,1182,1272,1176,1,15,181.96,94,653.51,1912,1524,1754,438,603,1,0
11,11,60,1,1,1368,656,2,1423,1631,1182,1272,1167,1,14,55.53,1,798.12,1912,1524,1746,1746,554,0,0
725,725,24,0,1,1625,765,4,1571,1,1160,1272,1167,1,7,372.32,315,663.05,1912,1524,1746,1746,603,1,1
2803,2810,21,0,1,1625,525,4,1423,1631,1182,1307,1176,1,13,58.92,113,739.22,1912,1524,1746,1746,588,0,1
